epoch	dropout_0.0	dropout_0.2	dropout_0.4	dropout_0.6	dropout_0.8
1	236.069510	226.869177	226.476593	216.279049	225.479770
2	129.345592	124.569051	135.689936	130.837001	151.656801
3	94.679174	93.600123	96.959569	102.298815	125.701037
4	75.431416	74.093979	79.649135	87.973397	113.983132
5	64.911461	60.698413	66.827758	77.467042	106.102504
6	53.502999	56.367342	60.273985	72.075788	100.224347
7	43.197243	40.638050	52.242636	64.539586	96.709242
8	37.083817	37.766681	48.021283	60.199971	93.865994
9	26.717787	35.361779	43.288333	56.209817	91.025541
10	24.385725	33.581728	40.045718	53.331485	88.175025
